SplitID,SplitIndex,Split,StrokeRate
6978,4,6724,
6978,6,10457,
6978,8,14380,
6978,10,18308,
6978,12,22276,
6978,14,26270,
6978,16,30259,
6978,18,34210,
6978,20,37775,
6979,2,3747,
6979,4,8150,
6979,6,12900,
6979,8,17787,
6979,10,22513,
6979,12,27322,
6979,14,32016,
6979,16,36790,
6979,18,41512,
6979,20,45422,
6980,2,5325,
6980,4,11456,
6981,2,6022,
6981,4,12577,
6982,2,3611,
6982,4,7871,
6983,2,3722,
6983,4,7607,
6984,2,4292,
6984,4,9362,
6984,6,15083,
6984,8,19464,
6985,2,3798,
6985,6,12865,
6985,8,17428,
6985,10,22050,
6985,12,26653,
6985,14,31299,
6985,16,35900,
6985,18,40460,
6985,20,44449,
6987,2,3677,
6987,4,8041,
6988,2,2669,
6988,4,5325,
6988,6,7950,
6988,8,10463,
6990,2,3435,
6990,4,7245,
6990,6,10152,
6990,8,12845,
6992,2,3724,
6992,4,7492,
6992,6,10690,
6992,8,13769,
6994,2,3749,
6994,4,8616,
6994,6,12339,
6994,8,15656,
6996,2,3062,
6996,4,6353,
6996,6,9287,
6996,8,11864,
6998,2,3347,
6998,4,6928,
6998,6,10366,
6998,8,13152,
7000,2,3745,
7000,4,7800,
7000,6,11138,
7000,8,14319,
7002,2,3770,
7002,4,8105,
7002,6,11549,
7002,8,14983,
7004,2,2584,
7004,4,5165,
7004,6,7847,
7004,8,9613,
7006,2,2778,
7006,4,5556,
7006,6,8326,
7006,8,11129,
7008,2,2878,
7008,4,5905,
7008,6,9031,
7008,8,11948,
7010,2,3140,
7010,4,6442,
7010,6,10582,
7010,8,15045,
7012,2,2794,
7012,4,5472,
7012,6,8076,
7012,8,10674,
7014,2,2875,
7014,4,5777,
7014,6,8862,
7014,8,11636,
7016,2,3090,
7016,4,6555,
7016,6,9727,
7016,8,13365,
7018,2,3520,
7018,4,6772,
7018,6,10175,
7018,8,13334,
7020,2,2863,
7020,4,6022,
7020,6,9175,
7020,8,12648,
7020,10,15648,
7020,12,19263,
7020,14,22255,
7020,16,25574,
7022,2,3327,
7022,4,7417,
7022,6,10461,
7022,8,13982,
7022,12,20425,
7022,14,23627,
7022,16,27266,
7025,2,3017,
7025,4,6313,
7025,6,9279,
7025,8,12625,
7025,10,15827,
7025,12,19351,
7025,14,22307,
7025,16,25599,
7027,2,3309,
7027,4,7117,
7027,6,10490,
7027,8,14291,
7027,10,17563,
7027,12,21264,
7027,14,24606,
7027,16,28442,
7029,2,3649,
7029,4,7864,
7029,6,11598,
7029,8,15931,
7029,10,19607,
7029,12,23698,
7029,14,27464,
7029,16,31615,
7148,2,3278,
7148,4,7289,
7148,6,11871,
7148,8,15352,
7149,2,3233,
7149,4,6865,
7149,6,10540,
